# Output Voltage [V], Measured Voltage [V], Measured Voltage Std [V], Frequency [MHz]
6.545665,0.440200,0.000038,180.400000
6.520617,0.438488,0.000019,180.140000
6.495568,0.436826,0.000026,179.890000
6.470520,0.435124,0.000037,179.840000
6.445472,0.433412,0.000038,179.580000
6.420424,0.431715,0.000047,179.320000
6.395376,0.430033,0.000031,179.070000
6.370328,0.428386,0.000034,179.020000
6.345279,0.426674,0.000034,178.770000
6.320231,0.424992,0.000019,178.520000
6.295183,0.423265,0.000019,178.470000
6.270135,0.421667,0.000031,178.210000
6.245087,0.419951,0.000019,177.960000
6.220039,0.418293,0.000019,177.710000
6.194990,0.416601,0.000038,177.640000
6.169942,0.414894,0.000000,177.390000
6.144894,0.413267,0.000038,177.140000
6.119846,0.411585,0.000034,177.090000
6.094798,0.409868,0.000037,176.840000
6.069750,0.408176,0.000047,176.580000
6.044701,0.406558,0.000038,176.530000
6.019653,0.404876,0.000019,176.280000
5.994605,0.403154,0.000044,176.030000
5.969557,0.401472,0.000019,175.770000
5.944509,0.399766,0.000037,175.730000
5.919461,0.398113,0.000038,175.480000
5.894412,0.396421,0.000034,175.240000
5.869364,0.394729,0.000039,174.980000
5.844316,0.393017,0.000031,174.930000
5.819268,0.391419,0.000039,174.670000
5.794220,0.389683,0.000039,174.420000
5.769171,0.387981,0.000000,174.370000
5.744123,0.386269,0.000037,174.120000
5.719075,0.384587,0.000000,173.860000
5.694027,0.382930,0.000028,173.630000
5.668979,0.381203,0.000026,173.570000
5.643931,0.379516,0.000044,173.310000
5.618882,0.377805,0.000019,173.050000
5.593834,0.376044,0.000034,173.010000
5.568786,0.374475,0.000026,172.760000
5.543738,0.372763,0.000031,172.510000
5.518690,0.371061,0.000038,172.460000
5.493642,0.369374,0.000034,172.200000
5.468593,0.367752,0.000037,171.950000
5.443545,0.366065,0.000037,171.700000
5.418497,0.364358,0.000037,171.660000
5.393449,0.362626,0.000034,171.390000
5.368401,0.360905,0.000019,171.140000
5.343353,0.359287,0.000039,171.090000
5.318304,0.357570,0.000037,170.850000
5.293256,0.355863,0.000019,170.590000
5.268208,0.354206,0.000019,170.340000
5.243160,0.352554,0.000026,170.290000
5.218112,0.350876,0.000038,170.030000
5.193064,0.349170,0.000034,169.780000
5.168015,0.347438,0.000037,169.730000
5.142967,0.345717,0.000039,169.480000
5.117919,0.344138,0.000039,169.230000
5.092871,0.342422,0.000034,168.970000
5.067823,0.340725,0.000044,168.930000
5.042775,0.339047,0.000028,168.660000
5.017726,0.337405,0.000042,168.400000
4.992678,0.335683,0.000038,168.360000
4.967630,0.334011,0.000042,168.100000
4.942582,0.332309,0.000038,167.850000
4.917534,0.330583,0.000034,167.580000
4.892486,0.329004,0.000044,167.550000
4.867437,0.327278,0.000026,167.290000
4.842389,0.325546,0.000019,167.030000
4.817341,0.323864,0.000038,166.980000
4.792293,0.322231,0.000019,166.730000
4.767245,0.320554,0.000037,166.470000
4.742197,0.318843,0.000000,166.210000
4.717148,0.317116,0.000026,166.160000
4.692100,0.315419,0.000038,165.900000
4.667052,0.313826,0.000039,165.660000
4.642004,0.312119,0.000031,165.610000
4.616956,0.310412,0.000031,165.350000
4.591908,0.308735,0.000019,165.090000
4.566859,0.307088,0.000019,164.840000
4.541811,0.305351,0.000034,164.800000
4.516763,0.303654,0.000039,164.540000
4.491715,0.301953,0.000028,164.280000
4.466667,0.300231,0.000031,164.020000
4.441618,0.298667,0.000038,163.970000
4.416570,0.296951,0.000038,163.710000
4.391522,0.295209,0.000039,163.450000
4.366474,0.293572,0.000031,163.410000
4.341426,0.291826,0.000037,163.150000
4.316378,0.290183,0.000026,162.890000
4.291329,0.288535,0.000000,162.840000
4.266281,0.286784,0.000042,162.580000
4.241233,0.285068,0.000034,162.310000
4.216185,0.283474,0.000026,162.070000
4.191137,0.281733,0.000031,162.020000
4.166089,0.280041,0.000038,161.750000
4.141040,0.278364,0.000026,161.490000
4.115992,0.276637,0.000034,161.440000
4.090944,0.275010,0.000038,161.190000
4.065896,0.273352,0.000038,160.930000
4.040848,0.271621,0.000037,160.670000
4.015800,0.269884,0.000037,160.630000
3.990751,0.268291,0.000039,160.370000
3.965703,0.266540,0.000037,160.110000
3.940655,0.264838,0.000034,160.070000
3.915607,0.263176,0.000037,159.810000
3.890559,0.261459,0.000019,159.550000
3.865511,0.259821,0.000031,159.290000
3.840462,0.258134,0.000031,159.240000
3.815414,0.256423,0.000026,158.990000
3.790366,0.254696,0.000034,158.730000
3.765318,0.253152,0.000037,158.490000
3.740270,0.251406,0.000039,158.440000
3.715222,0.249694,0.000026,158.180000
3.690173,0.248022,0.000037,157.910000
3.665125,0.246301,0.000026,157.860000
3.640077,0.244673,0.000034,157.610000
3.615029,0.243025,0.000038,157.350000
3.589981,0.241289,0.000038,157.300000
3.564933,0.239597,0.000019,157.040000
3.539884,0.238018,0.000019,156.790000
3.514836,0.236292,0.000019,156.530000
3.489788,0.234580,0.000038,156.490000
3.464740,0.232903,0.000026,156.230000
3.439692,0.231196,0.000039,155.970000
3.414644,0.229554,0.000037,155.910000
3.389595,0.227906,0.000031,155.650000
3.364547,0.226165,0.000034,155.390000
3.339499,0.224448,0.000000,155.130000
3.314451,0.222771,0.000034,155.080000
3.289403,0.221148,0.000031,154.830000
3.264355,0.219436,0.000039,154.580000
3.239306,0.217754,0.000031,154.520000
3.214258,0.216038,0.000039,154.260000
3.189210,0.214430,0.000034,154.010000
3.164162,0.212752,0.000031,153.760000
3.139114,0.211041,0.000026,153.700000
3.114066,0.209334,0.000039,153.440000
3.089017,0.207642,0.000019,153.160000
3.063969,0.205990,0.000038,153.120000
3.038921,0.204238,0.000034,152.880000
3.013873,0.202581,0.000019,152.620000
2.988825,0.200874,0.000037,152.360000
2.963776,0.199241,0.000038,152.300000
2.938728,0.197584,0.000038,152.050000
2.913680,0.195858,0.000034,151.790000
2.888632,0.194116,0.000046,151.740000
2.863584,0.192464,0.000034,151.470000
2.838536,0.190797,0.000038,151.220000
2.813487,0.189090,0.000048,150.960000
2.788439,0.187413,0.000034,150.910000
2.763391,0.185681,0.000042,150.660000
2.738343,0.184039,0.000028,150.400000
2.713295,0.182381,0.000028,150.350000
2.688247,0.180635,0.000026,150.100000
2.663198,0.178908,0.000000,149.830000
2.638150,0.177246,0.000034,149.560000
2.613102,0.175603,0.000026,149.520000
2.588054,0.173877,0.000044,149.260000
2.563006,0.172215,0.000042,148.990000
2.537958,0.170488,0.000037,148.960000
2.512909,0.168850,0.000039,148.700000
2.487861,0.167213,0.000031,148.440000
2.462813,0.165486,0.000034,148.180000
2.437765,0.163725,0.000038,148.130000
2.412717,0.162048,0.000038,147.860000
2.387669,0.160430,0.000026,147.620000
2.362620,0.158713,0.000026,147.570000
2.337572,0.157051,0.000019,147.320000
2.312524,0.155334,0.000037,147.070000
2.287476,0.153726,0.000019,146.820000
2.262428,0.152039,0.000039,146.770000
2.237380,0.150328,0.000026,146.520000
2.212331,0.148596,0.000034,146.260000
2.187283,0.146939,0.000034,146.010000
2.162235,0.145286,0.000039,145.960000
2.137187,0.143555,0.000034,145.710000
2.112139,0.141868,0.000037,145.450000
2.087091,0.140151,0.000034,145.410000
2.062042,0.138415,0.000019,145.150000
2.036994,0.136851,0.000038,144.890000
2.011946,0.135125,0.000034,144.640000
1.986898,0.133393,0.000037,144.590000
1.961850,0.131726,0.000042,144.340000
1.936802,0.130103,0.000038,144.080000
1.911753,0.128382,0.000031,144.030000
1.886705,0.126729,0.000026,143.780000
1.861657,0.124983,0.000034,143.520000
1.836609,0.123251,0.000031,143.260000
1.811561,0.121688,0.000028,143.220000
1.786513,0.119976,0.000037,142.970000
1.761464,0.118225,0.000026,142.710000
1.736416,0.116577,0.000034,142.670000
1.711368,0.114949,0.000038,142.410000
1.686320,0.113233,0.000026,142.150000
1.661272,0.111571,0.000031,142.090000
1.636224,0.109819,0.000038,141.830000
1.611175,0.108108,0.000019,141.570000
1.586127,0.106519,0.000031,141.320000
1.561079,0.104793,0.000019,141.280000
1.536031,0.103071,0.000026,141.020000
1.510983,0.101404,0.000039,140.770000
1.485934,0.099747,0.000028,140.720000
1.460886,0.098015,0.000019,140.470000
1.435838,0.096387,0.000039,140.200000
1.410790,0.094636,0.000034,139.960000
1.385742,0.092944,0.000031,139.900000
1.360694,0.091371,0.000026,139.660000
1.335645,0.089644,0.000000,139.400000
1.310597,0.087908,0.000028,139.360000
1.285549,0.086166,0.000044,139.100000
1.260501,0.084410,0.000037,138.860000
1.235453,0.082714,0.000031,138.620000
1.210405,0.081041,0.000000,138.560000
1.185356,0.079364,0.000034,138.310000
1.160308,0.077638,0.000026,138.050000
1.135260,0.076049,0.000034,138.010000
1.110212,0.074328,0.000019,137.760000
1.085164,0.072596,0.000028,137.520000
1.060116,0.070929,0.000026,137.470000
1.035067,0.069291,0.000038,137.220000
1.010019,0.067550,0.000019,136.970000
0.984971,0.065898,0.000026,136.720000
0.959923,0.064171,0.000044,136.670000
0.934875,0.062464,0.000038,136.420000
0.909827,0.060841,0.000019,136.180000
0.884778,0.059174,0.000019,136.140000
0.859730,0.057428,0.000031,135.890000
0.834682,0.055785,0.000000,135.630000
0.809634,0.054083,0.000039,135.380000
0.784586,0.052401,0.000026,135.340000
0.759538,0.050754,0.000034,135.100000
0.734489,0.049012,0.000031,134.850000
0.709441,0.047316,0.000037,134.810000
0.684393,0.045737,0.000037,134.570000
0.659345,0.043996,0.000038,134.330000
0.634297,0.042279,0.000026,134.080000
0.609249,0.040597,0.000039,134.040000
0.584200,0.038900,0.000019,133.790000
0.559152,0.037253,0.000031,133.550000
0.534104,0.035590,0.000026,133.310000
0.509056,0.033854,0.000026,133.260000
0.484008,0.032123,0.000031,133.020000
0.458960,0.030544,0.000031,132.770000
0.433911,0.028822,0.000038,132.730000
0.408863,0.027076,0.000034,132.480000
0.383815,0.025439,0.000039,132.240000
0.358767,0.023727,0.000031,131.990000
0.333719,0.022069,0.000031,131.950000
0.308671,0.020427,0.000028,131.710000
0.283622,0.018725,0.000039,131.470000
0.258574,0.017003,0.000038,131.420000
0.233526,0.015425,0.000038,131.180000
0.208478,0.013689,0.000038,130.940000
0.183430,0.011977,0.000019,130.890000
0.158382,0.010285,0.000039,130.650000
0.133333,0.008578,0.000026,130.410000
0.108285,0.006926,0.000034,130.180000
0.083237,0.005258,0.000031,130.140000
0.058189,0.003537,0.000000,129.890000
0.033141,0.001840,0.000039,129.660000
0.008092,0.000232,0.000038,129.610000
-0.016956,-0.001475,0.000039,129.370000
-0.042004,-0.003211,0.000039,129.130000
-0.067052,-0.004907,0.000039,128.890000
-0.092100,-0.006624,0.000044,128.850000
-0.117148,-0.008261,0.000039,128.620000
-0.142197,-0.009903,0.000037,128.390000
-0.167245,-0.011620,0.000019,128.340000
-0.192293,-0.013351,0.000000,128.090000
-0.217341,-0.015043,0.000039,127.860000
-0.242389,-0.016665,0.000000,127.630000
-0.267437,-0.018406,0.000034,127.590000
-0.292486,-0.020063,0.000019,127.350000
-0.317534,-0.021794,0.000000,127.110000
-0.342582,-0.023442,0.000026,126.900000
-0.367630,-0.025109,0.000000,126.840000
-0.392678,-0.026815,0.000038,126.610000
-0.417726,-0.028561,0.000034,126.390000
-0.442775,-0.030213,0.000037,126.350000
-0.467823,-0.031846,0.000038,126.120000
-0.492871,-0.033577,0.000046,125.880000
-0.517919,-0.035224,0.000031,125.650000
-0.542967,-0.036955,0.000026,125.610000
-0.568015,-0.038598,0.000019,125.390000
-0.593064,-0.040270,0.000038,125.170000
-0.618112,-0.041956,0.000039,124.950000
-0.643160,-0.043678,0.000037,124.900000
-0.668208,-0.045364,0.000037,124.670000
-0.693256,-0.046992,0.000037,124.460000
-0.718304,-0.048718,0.000042,124.230000
-0.743353,-0.050375,0.000031,124.180000
-0.768401,-0.052087,0.000038,123.950000
-0.793449,-0.053739,0.000031,123.730000
-0.818497,-0.055381,0.000038,123.700000
-0.843545,-0.057147,0.000028,123.460000
-0.868593,-0.058848,0.000039,123.250000
-0.893642,-0.060535,0.000034,123.020000
-0.918690,-0.062143,0.000037,122.980000
-0.943738,-0.063850,0.000019,122.760000
-0.968786,-0.065546,0.000039,122.530000
-0.993834,-0.067262,0.000031,122.300000
-1.018882,-0.068890,0.000031,122.270000
-1.043931,-0.070552,0.000026,122.050000
-1.068979,-0.072293,0.000019,121.830000
-1.094027,-0.074029,0.000019,121.600000
-1.119075,-0.075696,0.000019,121.560000
-1.144123,-0.077348,0.000028,121.340000
-1.169171,-0.079050,0.000039,121.120000
-1.194220,-0.080751,0.000026,121.080000
-1.219268,-0.082463,0.000031,120.850000
-1.244316,-0.084085,0.000038,120.630000
-1.269364,-0.085767,0.000037,120.400000
-1.294412,-0.087474,0.000037,120.360000
-1.319461,-0.089195,0.000026,120.140000
-1.344509,-0.090877,0.000039,119.920000
-1.369557,-0.092514,0.000031,119.710000
-1.394605,-0.094250,0.000031,119.660000
-1.419653,-0.095927,0.000039,119.440000
-1.444701,-0.097653,0.000037,119.210000
-1.469750,-0.099375,0.000026,119.160000
-1.494798,-0.100978,0.000039,118.940000
-1.519846,-0.102684,0.000034,118.720000
-1.544894,-0.104371,0.000039,118.510000
-1.569942,-0.106067,0.000019,118.460000
-1.594990,-0.107670,0.000034,118.250000
-1.620039,-0.109411,0.000037,118.030000
-1.645087,-0.111098,0.000037,117.990000
-1.670135,-0.112800,0.000034,117.770000
-1.695183,-0.114536,0.000034,117.550000
-1.720231,-0.116138,0.000039,117.330000
-1.745279,-0.117870,0.000039,117.300000
-1.770328,-0.119601,0.000039,117.070000
-1.795376,-0.121302,0.000028,116.850000
-1.820424,-0.122890,0.000026,116.640000
-1.845472,-0.124621,0.000019,116.590000
-1.870520,-0.126293,0.000034,116.370000
-1.895568,-0.128029,0.000034,116.140000
-1.920617,-0.129746,0.000028,116.110000
-1.945665,-0.131364,0.000048,115.880000
-1.970713,-0.133065,0.000034,115.660000
-1.995761,-0.134772,0.000037,115.450000
-2.020809,-0.136458,0.000034,115.400000
-2.045857,-0.138091,0.000034,115.180000
-2.070906,-0.139768,0.000000,114.960000
-2.095954,-0.141474,0.000038,114.920000
-2.121002,-0.143176,0.000031,114.700000
-2.146050,-0.144872,0.000037,114.480000
-2.171098,-0.146475,0.000039,114.270000
-2.196146,-0.148211,0.000028,114.230000
-2.221195,-0.149888,0.000034,114.010000
-2.246243,-0.151565,0.000039,113.790000
-2.271291,-0.153197,0.000031,113.750000
-2.296339,-0.154899,0.000034,113.550000
-2.321387,-0.156556,0.000034,113.330000
-2.346435,-0.158258,0.000037,113.110000
-2.371484,-0.159974,0.000019,113.070000
-2.396532,-0.161562,0.000031,112.860000
-2.421580,-0.163259,0.000037,112.650000
-2.446628,-0.164975,0.000039,112.610000
-2.471676,-0.166652,0.000037,112.380000
-2.496724,-0.168363,0.000038,112.160000
-2.521773,-0.170025,0.000039,111.950000
-2.546821,-0.171702,0.000037,111.910000
-2.571869,-0.173394,0.000026,111.690000
-2.596917,-0.175095,0.000037,111.470000
-2.621965,-0.176693,0.000019,111.260000
-2.647013,-0.178410,0.000037,111.210000
-2.672062,-0.180126,0.000039,110.990000
-2.697110,-0.181818,0.000038,110.770000
-2.722158,-0.183524,0.000039,110.740000
-2.747206,-0.185176,0.000039,110.520000
-2.772254,-0.186858,0.000034,110.310000
-2.797303,-0.188555,0.000034,110.090000
-2.822351,-0.190266,0.000019,110.270000
-2.847399,-0.191844,0.000019,109.840000
-2.872447,-0.193571,0.000031,109.620000
-2.897495,-0.195287,0.000056,109.570000
-2.922543,-0.196939,0.000039,109.360000
-2.947592,-0.198641,0.000034,109.140000
-2.972640,-0.200258,0.000048,108.930000
-2.997688,-0.201980,0.000038,108.900000
-3.022736,-0.203681,0.000034,108.680000
-3.047784,-0.205417,0.000044,108.460000
-3.072832,-0.206976,0.000037,108.250000
-3.097881,-0.208668,0.000026,108.210000
-3.122929,-0.210389,0.000034,108.000000
-3.147977,-0.212076,0.000037,107.770000
-3.173025,-0.213792,0.000019,107.550000
-3.198073,-0.215449,0.000019,107.510000
-3.223121,-0.217091,0.000038,107.300000
-3.248170,-0.218837,0.000028,107.080000
-3.273218,-0.220549,0.000037,106.860000
-3.298266,-0.222152,0.000039,106.820000
-3.323314,-0.223848,0.000039,106.600000
-3.348362,-0.225550,0.000019,106.380000
-3.373410,-0.227232,0.000038,106.340000
-3.398459,-0.228948,0.000026,106.120000
-3.423507,-0.230575,0.000034,105.890000
-3.448555,-0.232242,0.000038,105.670000
-3.473603,-0.233988,0.000000,105.630000
-3.498651,-0.235675,0.000038,105.410000
-3.523699,-0.237248,0.000037,105.190000
-3.548748,-0.237382,0.000000,105.150000
-3.573796,-0.238437,0.000038,104.910000
-3.598844,-0.240109,0.000039,104.680000
-3.623892,-0.241796,0.000019,104.460000
-3.648940,-0.243408,0.000038,104.420000
-3.673988,-0.245105,0.000026,104.200000
-3.699037,-0.246802,0.000038,103.970000
-3.724085,-0.248528,0.000034,103.740000
-3.749133,-0.250264,0.000034,103.690000
-3.774181,-0.251847,0.000037,103.470000
-3.799229,-0.253583,0.000037,103.240000
-3.824277,-0.255309,0.000031,103.200000
-3.849326,-0.256971,0.000034,102.970000
-3.874374,-0.258614,0.000019,102.740000
-3.899422,-0.260335,0.000026,102.500000
-3.924470,-0.262017,0.000042,102.470000
-3.949518,-0.263743,0.000019,102.230000
-3.974566,-0.265474,0.000028,101.990000
-3.999615,-0.267072,0.000044,101.770000
-4.024663,-0.268798,0.000038,101.730000
-4.049711,-0.270520,0.000019,101.480000
-4.074759,-0.272201,0.000034,101.240000
-4.099807,-0.273844,0.000034,101.200000
-4.124855,-0.275535,0.000039,101.070000
-4.149904,-0.277212,0.000034,100.800000
-4.174952,-0.278963,0.000019,100.480000
-4.200000,-0.280675,0.000038,100.470000
